# 20260626_1045_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
116.5.207.59:8888	无效	0	198
119.123.174.119:22	无效	0	198
119.123.176.90:9992	无效	0	198
119.123.177.133:9992	无效	0	198
119.123.87.181:4022	无效	0	198
119.131.24.1:9003	无效	0	198
119.131.24.84:9003	无效	0	198
119.131.88.19:4333	无效	0	198
119.131.88.33:4333	无效	0	198
119.131.89.136:4333	无效	0	198
119.136.112.12:8888	无效	0	198
119.136.112.78:8888	无效	0	198
119.136.115.244:8888	无效	0	198
119.145.76.251:10000	无效	0	198
119.145.77.59:10000	无效	0	198
119.32.12.14:2905	无效	0	198
120.230.131.162:10000	无效	0	198
120.230.131.162:888	无效	0	198
121.33.172.156:4000	无效	0	198
125.89.163.44:8888	无效	0	198
125.90.252.179:4001	无效	0	198
125.90.252.179:4014	无效	0	198
125.90.252.179:4022	无效	0	198
125.90.252.179:4028	无效	0	198
125.90.252.179:4030	无效	0	198
125.90.252.179:4040	无效	0	198
125.90.252.179:4042	无效	0	198
125.90.252.179:4050	无效	0	198
125.92.203.61:8686	无效	0	198
125.93.110.190:8888	无效	0	198
125.93.111.39:8888	无效	0	198
125.94.165.132:8686	无效	0	198
125.94.174.105:4000	无效	0	198
14.115.232.5:7788	无效	0	198
14.115.232.6:7788	无效	0	198
14.117.233.4:9001	无效	0	198
14.118.95.20:4004	有效	4	194
14.118.95.20:4018	有效	4	194
14.121.146.108:30001	无效	0	198
14.121.146.108:554	无效	0	198
14.145.141.175:10000	无效	0	198
14.145.141.175:888	无效	0	198
14.145.152.80:8000	无效	0	198
14.145.154.27:10000	无效	0	198
14.145.154.27:888	无效	0	198
14.153.158.29:8008	无效	0	198
14.153.198.123:4022	无效	0	198
14.154.195.67:4022	无效	0	198
14.154.197.11:4022	无效	0	198
14.155.128.1:4022	无效	0	198
14.155.135.1:4022	无效	0	198
14.155.138.171:4022	无效	0	198
14.155.138.1:4022	无效	0	198
14.155.138.8:4022	无效	0	198
14.155.139.1:4022	无效	0	198
14.155.145.1:4022	无效	0	198
14.155.195.46:4022	无效	0	198
14.155.224.54:4060	无效	0	198
14.155.231.202:4060	无效	0	198
14.155.240.1:4022	无效	0	198
14.155.240.89:4022	无效	0	198
14.155.243.20:4022	无效	0	198
14.155.251.1:4022	无效	0	198
14.155.251.208:4022	无效	0	198
14.19.157.89:7088	无效	0	198
14.19.168.112:4022	无效	0	198
14.19.177.207:9900	无效	0	198
14.19.178.5:4022	无效	0	198
14.19.195.30:4022	无效	0	198
14.21.245.71:8888	无效	0	198
147.45.220.146:18888	无效	0	198
172.67.192.195:8800	无效	0	198
172.67.216.142:8081	无效	0	198
183.10.180.10:202	无效	0	198
183.10.180.22:202	无效	0	198
183.10.180.24:202	无效	0	198
183.10.180.2:202	无效	0	198
183.10.180.30:202	无效	0	198
183.10.180.33:202	无效	0	198
183.10.180.34:202	无效	0	198
183.10.180.7:202	无效	0	198
183.10.180.9:202	无效	0	198
183.10.182.173:8188	无效	0	198
183.10.182.76:8188	无效	0	198
183.10.182.9:8188	无效	0	198
183.20.84.136:8188	无效	0	198
183.23.53.157:4022	无效	0	198
183.236.43.1:4013	无效	0	198
183.236.43.1:4014	无效	0	198
183.236.43.1:4111	无效	0	198
183.30.201.123:10002	无效	0	198
183.30.201.1:10002	无效	0	198
183.30.201.31:10002	有效	4	194
183.31.11.175:8000	无效	0	198
183.33.57.37:8686	无效	0	198
183.33.58.1:8686	无效	0	198
183.33.58.229:8686	无效	0	198
183.33.59.3:8686	无效	0	198
183.45.16.1:60022	无效	0	198
