# 20260531_2057_precise_history
# 服务器地址	状态	测试有效次数	测试无效次数
171.213.219.62:4022	无效	0	65
171.213.219.90:4022	无效	0	65
171.213.220.1:4000	无效	0	65
171.213.221.159:8686	无效	0	65
171.213.221.1:4000	无效	0	65
171.213.221.221:8188	无效	0	65
171.213.221.246:8888	无效	0	65
171.213.221.253:8800	无效	0	65
171.213.222.165:4022	无效	0	65
171.213.222.197:4022	无效	0	65
171.213.222.1:4022	无效	0	65
171.213.222.205:4022	无效	0	65
171.213.222.209:4022	无效	0	65
171.213.222.214:4022	无效	0	65
171.213.222.244:4022	无效	0	65
171.213.222.37:4022	无效	0	65
171.213.222.52:4022	无效	0	65
171.213.222.77:3022	无效	0	65
171.213.222.82:4022	无效	0	65
171.213.222.9:8888	无效	0	65
171.213.223.105:8888	无效	0	65
171.213.223.150:9977	无效	0	65
171.213.223.185:8089	无效	0	65
171.213.223.30:8888	无效	0	65
171.213.223.36:5555	无效	0	65
171.213.223.3:55555	无效	0	65
171.213.223.72:4022	无效	0	65
171.213.224.130:82	无效	0	65
171.213.224.141:4022	无效	0	65
171.213.224.1:8089	无效	0	65
171.213.224.228:4022	无效	0	65
171.213.225.127:8888	无效	0	65
171.213.225.134:8888	无效	0	65
171.213.225.1:4022	无效	0	65
171.213.225.205:8088	无效	0	65
171.213.225.36:18097	无效	0	65
171.213.226.142:18097	无效	0	65
171.213.226.142:8096	无效	0	65
171.213.226.1:5555	无效	0	65
171.213.226.206:8188	无效	0	65
171.213.226.21:4022	无效	0	65
171.213.227.1:5555	无效	0	65
171.213.227.64:8888	无效	0	65
171.213.227.69:5555	无效	0	65
171.213.228.1:4200	无效	0	65
171.213.228.1:5555	无效	0	65
171.213.229.1:5555	无效	0	65
171.213.229.1:8188	无效	0	65
171.213.229.36:5555	无效	0	65
171.213.230.127:82	无效	0	65
171.213.230.156:4022	无效	0	65
171.213.230.1:5555	无效	0	65
171.213.230.250:5555	无效	0	65
171.213.230.61:4022	无效	0	65
171.213.230.9:4022	无效	0	65
171.213.231.130:58888	无效	0	65
171.213.231.194:8096	无效	0	65
171.213.231.205:8088	无效	0	65
171.213.231.230:4022	无效	0	65
171.213.231.236:5555	无效	0	65
171.213.231.70:8800	无效	0	65
171.213.232.131:4022	无效	0	65
171.213.232.140:4000	无效	0	65
171.213.232.144:58888	无效	0	65
171.213.232.190:4022	无效	0	65
171.213.232.1:5555	无效	0	65
171.213.233.156:8800	无效	0	65
171.213.233.182:3333	无效	0	65
171.213.234.100:8888	无效	0	65
171.213.234.70:8096	无效	0	65
171.213.234.91:8888	无效	0	65
171.213.235.1:4200	无效	0	65
171.213.235.7:4200	无效	0	65
171.213.236.124:8188	无效	0	65
171.213.236.135:8188	无效	0	65
171.213.236.139:8188	无效	0	65
171.213.236.158:8188	无效	0	65
171.213.236.1:4022	无效	0	65
171.213.236.1:8188	无效	0	65
171.213.236.255:8188	无效	0	65
171.213.236.54:8188	无效	0	65
171.213.236.61:8188	无效	0	65
171.213.237.106:8188	无效	0	65
