2026/05/15 20:19精选更新,#genre#
第一财经,http://116.237.68.208:4022/rtp/239.45.3.211:5140
游戏风云,http://116.237.68.208:4022/rtp/239.45.3.131:5140
动漫秀场,http://116.237.68.208:4022/rtp/239.45.3.134:5140
欢笑剧场,http://116.237.68.208:4022/rtp/239.45.3.196:5140
纪实人文,http://116.237.68.208:4022/udp/239.45.3.212:5140
金色学堂,http://116.237.68.208:4022/rtp/239.45.0.9:5140
哈哈炫动,http://116.237.68.208:4022/rtp/239.45.1.55:5140
嘉佳卡通,http://116.237.68.208:4022/rtp/239.45.1.48:5140
中国天气,http://116.237.68.208:4022/rtp/239.45.3.141:5140
七彩戏剧,http://116.237.68.208:4022/udp/239.45.0.16:5140
东方影视,http://116.237.68.208:4022/rtp/239.45.3.237:5140

嘉定频道,http://116.237.68.208:4022/rtp/239.45.3.185:5140
东方购物-1HD,http://116.237.68.208:4022/rtp/239.45.3.74:5140
东方购物-2HD,http://116.237.68.208:4022/rtp/239.45.3.75:5140
东方购物-3HD,http://116.237.68.208:4022/rtp/239.45.3.207:5140

快乐垂钓HD,http://116.237.68.208:4022/rtp/233.18.204.42:5140
茶频道HD,http://116.237.68.208:4022/rtp/233.18.204.43:5140
金鹰纪实HD,http://116.237.68.208:4022/rtp/233.18.204.104:5140
财富天下HD,http://116.237.68.208:4022/rtp/233.18.204.231:5140
法治天地HD,http://116.237.68.208:4022/rtp/233.18.204.49:5140
生活时尚HD,http://116.237.68.208:4022/rtp/233.18.204.45:5140
都市剧场HD,http://116.237.68.208:4022/rtp/233.18.204.48:5140
第一财经HD,http://116.237.68.208:4022/rtp/233.18.204.65:5140
第一财经HD,http://116.237.68.208:4022/rtp/233.18.204.59:5140
游戏风云HD,http://116.237.68.208:4022/rtp/233.18.204.44:5140
动漫秀场HD,http://116.237.68.208:4022/rtp/233.18.204.46:5140
动漫秀场HD,http://116.237.68.208:4022/rtp/233.18.204.54:5140
乐游HD,http://116.237.68.208:4022/rtp/233.18.204.47:5140
欢笑剧场HD,http://116.237.68.208:4022/rtp/233.18.204.50:5140
欢笑剧场HD,http://116.237.68.208:4022/rtp/233.18.204.55:5140
金色学堂HD,http://116.237.68.208:4022/rtp/233.18.204.66:5140
BesTV 4K电影,http://116.237.68.208:4022/rtp/239.45.1.9:5140
BesTV4K动画,http://116.237.68.208:4022/rtp/233.18.204.171:5140
BesTV4K电影,http://116.237.68.208:4022/rtp/233.18.204.169:5140
BesTV4K记录,http://116.237.68.208:4022/rtp/233.18.204.170:5140
BesTV电影介绍,http://116.237.68.208:4022/rtp/239.45.1.15:5140
BesTV直播1,http://116.237.68.208:4022/rtp/239.45.3.53:5140
BesTV直播10,http://116.237.68.208:4022/rtp/233.18.204.160:5140
BesTV直播2,http://116.237.68.208:4022/rtp/239.45.3.54:5140
BesTV直播3,http://116.237.68.208:4022/rtp/239.45.3.55:5140
BesTV直播4,http://116.237.68.208:4022/rtp/239.45.3.137:5140
BesTV直播5,http://116.237.68.208:4022/rtp/239.45.3.138:5140
BesTV直播7,http://116.237.68.208:4022/rtp/239.45.3.140:5140
BesTV直播8,http://116.237.68.208:4022/rtp/239.45.3.215:5140
BesTV直播9,http://116.237.68.208:4022/rtp/239.45.3.216:5140
CCTV16 4K,http://116.237.68.208:4022/rtp/233.18.204.114:5140
CCTV16 4K,http://116.237.68.208:4022/rtp/233.18.204.215:5140
CCTV4K(HDR),http://116.237.68.208:4022/rtp/233.18.204.204:5140
CETV早期教育,http://116.237.68.208:4022/rtp/233.18.204.187:5140
CHC影迷电影,http://116.237.68.208:4022/rtp/239.45.0.42:5140
CHC影迷电影,http://116.237.68.208:4022/rtp/233.18.204.175:5140
