央视,#genre#
CCTV2,http://shenhua.asuscomm.com:8888/rtp/233.18.204.21:5140,无效
CCTV2,http://yyf1991.top:9999/rtp/233.18.204.68:5140,有效
CCTV2,http://cx.shscxzx.cn:8899/rtp/233.18.204.68:5140,有效
CCTV2,http://wsc2007123.myds.me:30100/rtp/233.18.204.68:5140,有效
CCTV2,http://home888.uttcare.com:8889/rtp/233.18.204.68:5140,有效
CCTV2,http://shenhua.asuscomm.com:8888/rtp/233.18.204.68:5140,有效
CCTV3,http://yyf1991.top:9999/rtp/233.18.204.22:5140,无效
CCTV3,http://cx.shscxzx.cn:8899/rtp/233.18.204.22:5140,无效
CCTV3,http://wsc2007123.myds.me:30100/rtp/233.18.204.22:5140,无效
CCTV3,http://home888.uttcare.com:8889/rtp/233.18.204.22:5140,无效
CCTV3,http://shenhua.asuscomm.com:8888/rtp/233.18.204.22:5140,无效
CCTV3,http://yyf1991.top:9999/rtp/233.18.204.69:5140,有效
CCTV3,http://cx.shscxzx.cn:8899/rtp/233.18.204.69:5140,有效
CCTV3,http://wsc2007123.myds.me:30100/rtp/233.18.204.69:5140,有效
CCTV3,http://home888.uttcare.com:8889/rtp/233.18.204.69:5140,有效
CCTV3,http://shenhua.asuscomm.com:8888/rtp/233.18.204.69:5140,有效
CCTV3,http://yyf1991.top:9999/rtp/239.45.1.68:5140,无效
CCTV3,http://cx.shscxzx.cn:8899/rtp/239.45.1.68:5140,无效
CCTV3,http://wsc2007123.myds.me:30100/rtp/239.45.1.68:5140,无效
CCTV3,http://home888.uttcare.com:8889/rtp/239.45.1.68:5140,无效
CCTV3,http://shenhua.asuscomm.com:8888/rtp/239.45.1.68:5140,无效
CCTV4,http://yyf1991.top:9999/rtp/233.18.204.23:5140,无效
CCTV4,http://cx.shscxzx.cn:8899/rtp/233.18.204.23:5140,无效
CCTV4,http://wsc2007123.myds.me:30100/rtp/233.18.204.23:5140,无效
CCTV4,http://home888.uttcare.com:8889/rtp/233.18.204.23:5140,无效
CCTV4,http://shenhua.asuscomm.com:8888/rtp/233.18.204.23:5140,无效
CCTV4,http://yyf1991.top:9999/rtp/233.18.204.70:5140,有效
CCTV4,http://cx.shscxzx.cn:8899/rtp/233.18.204.70:5140,有效
CCTV4,http://wsc2007123.myds.me:30100/rtp/233.18.204.70:5140,有效
CCTV4,http://home888.uttcare.com:8889/rtp/233.18.204.70:5140,有效
CCTV4,http://shenhua.asuscomm.com:8888/rtp/233.18.204.70:5140,有效
CCTV5,http://yyf1991.top:9999/rtp/233.18.204.24:5140,无效
CCTV5,http://cx.shscxzx.cn:8899/rtp/233.18.204.24:5140,无效
CCTV5,http://wsc2007123.myds.me:30100/rtp/233.18.204.24:5140,无效
CCTV5,http://home888.uttcare.com:8889/rtp/233.18.204.24:5140,无效
CCTV5,http://shenhua.asuscomm.com:8888/rtp/233.18.204.24:5140,无效
CCTV5,http://yyf1991.top:9999/rtp/233.18.204.71:5140,有效
CCTV5,http://cx.shscxzx.cn:8899/rtp/233.18.204.71:5140,有效
CCTV5,http://wsc2007123.myds.me:30100/rtp/233.18.204.71:5140,有效
CCTV5,http://home888.uttcare.com:8889/rtp/233.18.204.71:5140,有效
CCTV5,http://shenhua.asuscomm.com:8888/rtp/233.18.204.71:5140,有效
CCTV5,http://yyf1991.top:9999/rtp/239.45.1.69:5140,无效
CCTV5,http://cx.shscxzx.cn:8899/rtp/239.45.1.69:5140,无效
CCTV5,http://wsc2007123.myds.me:30100/rtp/239.45.1.69:5140,无效
CCTV5,http://home888.uttcare.com:8889/rtp/239.45.1.69:5140,无效
